"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"tyger valley campus","computer science","i am a developer by profession","developer, desktop or enterprise applications","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;python;swift","","","","higher education","chatgpt","adrenaline;aws codewhisperer;codeium;mintlify;rubber duck.ai;synk code;tabnine","employed, part-time;student, part-time"
"midrand campus","data science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","gdscript;go;html/css;lua;rust;sql;typescript","mongodb;postgresql;redis;supabase","amazon web services (aws);netlify;vercel","express;fastify;laravel;next.js;node.js;react","higher education","chatgpt","adrenaline;github copilot","independent contractor, freelancer, or self-employed"
"umhlanga campus","computer science","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","java;kotlin;sql","postgresql","amazon web services (aws);ovh","spring boot","information services, it, software development, or other technology","bing ai;chatgpt","github copilot;mintlify;replit ghostwriter","employed, full-time;independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","computer science","i am a developer by profession","senior executive (c-suite, vp, etc.)","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;sql","microsoft sql server","amazon web services (aws);microsoft azure","asp.net core","advertising services","","adrenaline;github copilot","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","developer, full-stack","associate degree (a.a., a.s., etc.)","javascript;typescript","firebase realtime database;postgresql","google cloud;vercel","nestjs;next.js;node.js;react","oil & gas","chatgpt","adrenaline;mintlify;rubber duck.ai","employed, full-time"
"tyger valley campus","data science","i am a developer by profession","developer, front-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;html/css;java;javascript;typescript","","","jquery;node.js;svelte;vue.js","financial services","","github copilot","employed, full-time"
"pretoria campus","data science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);html/css;javascript;r;sql","dynamodb;neo4j","amazon web services (aws);microsoft azure;vmware","jquery;node.js;react","other","chatgpt","github copilot;synk code","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","","something else","assembly;bash/shell (all shells);c#;c++;html/css;javascript;rust;typescript","","","","healthcare","","adrenaline;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","student, part-time"
"tyger valley campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);groovy;html/css;java;perl;rust;sql","elasticsearch","amazon web services (aws);google cloud;hetzner;microsoft azure","","higher education","chatgpt;google bard ai","adrenaline;mintlify","employed, full-time"
"pretoria campus","computer science","i code primarily as a hobby","","primary/elementary school","bash/shell (all shells);c#;dart;gdscript;go;html/css;java;javascript;lua;powershell;python;rust;sql;typescript","mariadb;mongodb;mysql;postgresql;sqlite","google cloud","asp.net core;blazor;express;node.js;react","other","bing ai;chatgpt","rubber duck.ai;tabnine","student, part-time"
"pretoria campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","groovy;html/css;javascript;ruby;rust;sql;typescript","cloud firestore;mysql","amazon web services (aws);firebase","express;node.js;react;wordpress","oil & gas","","aws codewhisperer;replit ghostwriter","employed, full-time"
"midrand campus","it","i am a developer by profession","blockchain","bachelor’s degree (b.a., b.s., b.eng., etc.)","c++;javascript;python;rust;typescript","postgresql","amazon web services (aws);google cloud","react","higher education","","adrenaline;github copilot","employed, full-time"
"pretoria campus","data science","i am a developer by profession","developer, front-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);html/css;javascript;python;typescript","mariadb","cloudflare;microsoft azure","express;node.js;react","wholesale","chatgpt","aws codewhisperer;replit ghostwriter;rubber duck.ai;tabnine","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;html/css;javascript;python;solidity;sql;typescript","cloud firestore;dynamodb;postgresql;sqlite","amazon web services (aws);cloudflare;digital ocean;firebase;google cloud;linode, now akamai;netlify","express;gatsby;node.js;react","advertising services","chatgpt","aws codewhisperer;tabnine","employed, full-time"
"tyger valley campus","computer science","i am not primarily a developer, but i write code sometimes as part of my work/studies","","some college/university study without earning a degree","bash/shell (all shells);c;python","","","","financial services","chatgpt;wolframalpha","adrenaline;aws codewhisperer;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","student, full-time"
"umhlanga campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c#;javascript;powershell;sql;typescript","dynamodb;microsoft sql server;postgresql","amazon web services (aws)","angular;angularjs;asp.net;asp.net core;node.js","higher education","chatgpt","adrenaline;aws codewhisperer","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);html/css;rust;typescript","postgresql;sqlite","amazon web services (aws);digital ocean;hetzner;linode, now akamai","deno;express;nestjs;next.js;node.js;nuxt.js;play framework;react;remix;solid.js;svelte;vue.js","healthcare","bing ai;chatgpt","aws codewhisperer;codeium;github copilot;synk code;tabnine","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;ruby;typescript","mysql;postgresql;redis","amazon web services (aws);heroku","react;ruby on rails","oil & gas","","aws codewhisperer;github copilot;replit ghostwriter;tabnine","not employed, but looking for work"
"midrand campus","it","i code primarily as a hobby","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c;c#;java;javascript;kotlin;php;python;sql","mysql","google cloud;heroku;ovh","jquery;node.js;vue.js","insurance","chatgpt","tabnine","student, full-time"
"nelson mandela bay campus","it","i am a developer by profession","data or business analyst","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;java;javascript;python;sql","cosmos db;microsoft access;microsoft sql server;postgresql","microsoft azure","angularjs;asp.net core;react;spring boot","retail and consumer services","","adrenaline;mintlify;rubber duck.ai","employed, full-time"
"umhlanga campus","data science","i am a developer by profession","student","some college/university study without earning a degree","c#;c++;html/css;java;lisp;matlab;python;sql","dynamodb;mysql;postgresql;sqlite","amazon web services (aws);digital ocean;google cloud","fastapi","information services, it, software development, or other technology","chatgpt","github copilot;tabnine;whispr ai","student, full-time;employed, part-time"
"pretoria campus","it","i am learning to code","","primary/elementary school","html/css;javascript;vba","firebase realtime database","firebase","","insurance","","github copilot;tabnine;whispr ai","student, full-time"
"nelson mandela bay campus","data science","i am not primarily a developer, but i write code sometimes as part of my work/studies","","primary/elementary school","c++;java;php;python","","","express;flask","financial services","bing ai","mintlify","student, full-time;student, part-time"
"tyger valley campus","data science","i am a developer by profession","developer, full-stack","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","html/css;kotlin;typescript","postgresql","","react;spring boot","manufacturing, transportation, or supply chain","","aws codewhisperer;codeium;tabnine;whispr ai","employed, full-time"
"tyger valley campus","it","i am learning to code","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c;c++;html/css;javascript;python;typescript","mongodb","vercel","fastapi;gatsby;next.js","insurance","bing ai","aws codewhisperer;codeium;github copilot;mintlify","student, full-time"
"midrand campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);kotlin;python;rust;sql","postgresql;redis;sqlite","amazon web services (aws);oracle cloud infrastructure (oci)","fastapi","retail and consumer services","","synk code;tabnine;whispr ai","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;javascript;python;sql;typescript","mongodb;postgresql;redis;supabase","google cloud;microsoft azure","angular;asp.net core;express;next.js;node.js;react","wholesale","chatgpt","mintlify","employed, full-time"
